latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
33.875,-118.37499,91.0,0,GMT,GMT

time,wave_height (m),ocean_current_velocity (km/h),sea_surface_temperature (°C),wave_period (s)
2026-04-20T00:00,0.48,0.8,19.4,11.70
2026-04-20T01:00,0.50,0.8,19.4,11.40
2026-04-20T02:00,0.50,0.5,19.2,11.00
2026-04-20T03:00,0.52,0.4,19.1,10.70
2026-04-20T04:00,0.52,0.3,19.0,10.65
2026-04-20T05:00,0.52,0.4,18.9,10.75
2026-04-20T06:00,0.52,0.4,18.8,10.80
2026-04-20T07:00,0.52,0.4,18.7,10.80
2026-04-20T08:00,0.52,0.3,18.6,10.75
2026-04-20T09:00,0.52,0.2,18.6,10.75
2026-04-20T10:00,0.52,0.3,18.5,10.70
2026-04-20T11:00,0.52,0.4,18.5,10.70
2026-04-20T12:00,0.52,0.5,18.5,10.70
2026-04-20T13:00,0.52,0.6,18.5,10.80
2026-04-20T14:00,0.50,0.6,18.5,10.90
2026-04-20T15:00,0.50,0.6,18.5,11.05
2026-04-20T16:00,0.50,0.6,18.5,11.25
2026-04-20T17:00,0.48,0.6,18.5,11.45
2026-04-20T18:00,0.48,0.6,18.5,11.60
2026-04-20T19:00,0.48,0.6,18.6,11.75
2026-04-20T20:00,0.48,0.6,18.6,11.90
2026-04-20T21:00,0.48,0.6,18.8,11.80
2026-04-20T22:00,0.50,0.6,18.8,11.30
2026-04-20T23:00,0.54,0.6,18.9,10.60
2026-04-21T00:00,0.56,0.6,18.9,10.00
2026-04-21T01:00,0.58,0.5,18.8,9.55
2026-04-21T02:00,0.60,0.5,18.8,9.20
2026-04-21T03:00,0.62,0.4,18.6,8.95
2026-04-21T04:00,0.62,0.4,18.5,8.85
2026-04-21T05:00,0.64,0.3,18.5,8.90
2026-04-21T06:00,0.64,0.3,18.4,9.05
2026-04-21T07:00,0.64,0.3,18.4,9.35
2026-04-21T08:00,0.62,0.3,18.3,9.75
2026-04-21T09:00,0.62,0.3,18.2,10.15
2026-04-21T10:00,0.62,0.3,18.2,10.50
2026-04-21T11:00,0.62,0.3,18.1,10.85
2026-04-21T12:00,0.62,0.4,18.1,11.10
2026-04-21T13:00,0.64,0.4,18.1,11.20
2026-04-21T14:00,0.64,0.3,18.2,11.15
2026-04-21T15:00,0.66,0.3,18.2,11.15
2026-04-21T16:00,0.68,0.3,18.2,11.15
2026-04-21T17:00,0.70,0.2,18.3,11.10
2026-04-21T18:00,0.72,0.3,18.4,11.10
2026-04-21T19:00,0.74,0.4,18.4,11.10
2026-04-21T20:00,0.74,0.5,18.5,11.10
2026-04-21T21:00,0.76,0.5,18.5,11.00
2026-04-21T22:00,0.78,0.6,18.5,10.80
2026-04-21T23:00,0.80,0.6,18.6,10.50
2026-04-22T00:00,0.82,0.8,18.6,10.15
2026-04-22T01:00,0.86,0.8,18.5,9.70
2026-04-22T02:00,0.88,0.9,18.5,9.15
2026-04-22T03:00,0.92,0.9,18.4,8.75
2026-04-22T04:00,0.94,0.9,18.2,8.55
2026-04-22T05:00,0.96,1.0,18.1,8.45
2026-04-22T06:00,0.98,0.8,18.0,8.35
2026-04-22T07:00,1.00,0.9,18.0,8.25
2026-04-22T08:00,1.02,0.9,17.9,8.20
2026-04-22T09:00,1.04,0.8,17.9,8.10
2026-04-22T10:00,1.08,0.7,17.8,7.95
2026-04-22T11:00,1.12,0.7,17.8,7.80
2026-04-22T12:00,1.16,0.7,17.8,7.70
2026-04-22T13:00,1.18,0.5,17.8,7.65
2026-04-22T14:00,1.20,0.5,17.7,7.65
2026-04-22T15:00,1.22,0.4,17.8,7.65
2026-04-22T16:00,1.24,0.4,17.8,7.65
2026-04-22T17:00,1.24,0.5,17.8,7.65
2026-04-22T18:00,1.26,0.4,17.8,7.60
2026-04-22T19:00,1.28,0.6,17.8,7.50
2026-04-22T20:00,1.28,0.7,17.8,7.40
