time,wave_height (m),ocean_current_velocity (km/h),sea_surface_temperature (°C),wave_period (s),strange_geometry
2026-04-20T00:00,0.52,1.4,15.4,10.75,0
2026-04-20T01:00,0.54,1.2,15.4,10.6,0
2026-04-20T02:00,0.54,0.7,15.3,10.55,0
2026-04-20T03:00,0.56,0.8,15.2,10.3,0
2026-04-20T04:00,0.62,1.5,15.2,9.65,0
2026-04-20T05:00,0.66,2.0,15.1,8.8,0
2026-04-20T06:00,0.72,1.8,15.1,8.15,0
2026-04-20T07:00,0.78,1.3,15.1,7.8,0
2026-04-20T08:00,0.84,0.4,15.1,7.6,0
2026-04-20T09:00,0.9,0.9,15.1,7.5,0
2026-04-20T10:00,0.94,1.9,15.0,7.45,0
2026-04-20T11:00,0.96,2.7,15.0,7.45,0
2026-04-20T12:00,1.0,2.8,15.0,7.5,0
2026-04-20T13:00,1.04,2.4,15.0,7.55,0
2026-04-20T14:00,1.06,2.1,15.0,7.6,0
2026-04-20T15:00,1.1,1.5,14.9,7.7,0
2026-04-20T16:00,1.14,1.5,14.9,7.9,0
2026-04-20T17:00,1.2,2.2,14.9,8.15,0
2026-04-20T18:00,1.24,2.7,14.9,8.35,0
2026-04-20T19:00,1.32,2.8,14.9,8.4,0
2026-04-20T20:00,1.42,2.2,14.9,8.4,0
2026-04-20T21:00,1.5,1.3,14.9,8.45,0
2026-04-20T22:00,1.56,0.4,14.9,8.55,0
2026-04-20T23:00,1.6,0.8,14.9,8.75,0
2026-04-21T00:00,1.66,1.0,14.9,8.9,0
2026-04-21T01:00,1.64,1.0,14.9,9.05,0
2026-04-21T02:00,1.64,1.1,14.9,9.25,0
2026-04-21T03:00,1.62,0.9,14.9,9.45,0
2026-04-21T04:00,1.58,0.9,14.9,9.65,0
2026-04-21T05:00,1.52,1.3,14.9,9.85,0
2026-04-21T06:00,1.48,1.6,14.9,10.05,0
2026-04-21T07:00,1.44,1.5,14.9,10.2,1
2026-04-21T08:00,1.4,0.9,14.9,10.3,0
2026-04-21T09:00,1.36,0.4,14.9,10.3,0
2026-04-21T10:00,1.34,1.2,14.9,10.2,0
2026-04-21T11:00,1.32,2.2,14.9,10.05,0
2026-04-21T12:00,1.3,2.7,14.9,9.85,0
2026-04-21T13:00,1.3,2.6,14.9,9.7,0
2026-04-21T14:00,1.28,2.3,14.9,9.55,0
2026-04-21T15:00,1.28,1.8,14.9,9.35,0
2026-04-21T16:00,1.3,1.1,14.9,9.05,0
2026-04-21T17:00,1.34,1.4,14.9,8.65,0
2026-04-21T18:00,1.36,2.2,14.9,8.35,0
2026-04-21T19:00,1.38,2.6,14.9,8.15,0
2026-04-21T20:00,1.42,2.4,14.9,7.95,0
2026-04-21T21:00,1.44,1.8,14.9,7.85,0
2026-04-21T22:00,1.44,1.1,14.9,7.8,0
2026-04-21T23:00,1.44,0.3,15.0,7.8,0
2026-04-22T00:00,1.44,0.6,15.0,7.8,1
2026-04-22T01:00,1.46,1.0,15.0,7.8,0
2026-04-22T02:00,1.46,1.2,15.0,7.75,0
2026-04-22T03:00,1.48,1.0,14.9,7.75,0
2026-04-22T04:00,1.48,0.9,14.9,7.75,0
2026-04-22T05:00,1.48,0.8,14.9,7.8,0
2026-04-22T06:00,1.48,1.0,14.9,7.85,0
2026-04-22T07:00,1.48,1.3,14.9,7.85,0
2026-04-22T08:00,1.5,1.1,14.9,7.9,0
2026-04-22T09:00,1.5,0.7,14.9,7.9,0
2026-04-22T10:00,1.5,0.2,14.8,7.9,0
2026-04-22T11:00,1.5,1.0,14.8,7.9,0
2026-04-22T12:00,1.5,1.9,14.8,7.9,0
2026-04-22T13:00,1.48,2.3,14.8,7.95,0
2026-04-22T14:00,1.46,2.4,14.8,8.0,0
2026-04-22T15:00,1.44,2.2,14.9,8.05,0
2026-04-22T16:00,1.42,1.7,14.9,8.1,0
2026-04-22T17:00,1.38,1.1,14.9,8.15,0
2026-04-22T18:00,1.36,0.9,14.9,8.2,0
2026-04-22T19:00,1.32,1.4,14.9,8.25,0
2026-04-22T20:00,1.3,1.9,15.0,8.3,0
2026-04-22T21:00,1.26,1.9,15.1,8.3,0
2026-04-22T22:00,1.22,1.5,15.1,8.3,0
2026-04-22T23:00,1.2,0.9,15.1,8.25,0
2026-04-23T00:00,1.16,0.3,15.2,8.25,0
2026-04-23T01:00,1.14,0.9,15.2,8.3,0
2026-04-23T02:00,1.14,1.4,15.2,8.35,0
2026-04-23T03:00,1.12,1.3,15.2,8.4,0
2026-04-23T04:00,1.1,1.3,15.2,8.45,0
2026-04-23T05:00,1.1,1.0,15.2,8.5,0
2026-04-23T06:00,1.08,0.6,15.2,8.5,0
2026-04-23T07:00,1.1,0.6,15.2,8.45,0
2026-04-23T08:00,1.1,0.9,15.1,8.4,0
2026-04-23T09:00,1.12,0.9,15.1,8.35,0
2026-04-23T10:00,1.12,0.6,15.1,8.35,0
2026-04-23T11:00,1.12,0.4,15.1,8.35,0
2026-04-23T12:00,1.12,1.0,15.1,8.4,0
2026-04-23T13:00,1.12,1.8,15.1,8.45,0
2026-04-23T14:00,1.1,2.3,15.1,8.5,0
2026-04-23T15:00,1.1,2.4,15.1,8.55,0
2026-04-23T16:00,1.08,2.2,15.1,8.65,0
2026-04-23T17:00,1.08,1.8,15.1,8.75,0
2026-04-23T18:00,1.06,1.1,15.1,8.8,0
2026-04-23T19:00,1.06,0.8,15.2,8.8,0
2026-04-23T20:00,1.04,1.4,15.2,8.8,0
2026-04-23T21:00,1.04,1.8,15.2,8.7,0
2026-04-23T22:00,1.06,1.8,15.3,8.45,0
2026-04-23T23:00,1.1,1.6,15.4,8.15,0
2026-04-24T00:00,1.12,0.9,15.4,7.9,0
2026-04-24T01:00,1.14,0.4,15.4,7.8,0
2026-04-24T02:00,1.14,0.7,15.4,7.8,0
2026-04-24T03:00,1.16,0.9,15.3,7.8,0
2026-04-24T04:00,1.16,1.1,15.3,7.8,1
2026-04-24T05:00,1.16,1.2,15.2,7.85,0
2026-04-24T06:00,1.16,0.9,15.2,7.9,0
2026-04-24T07:00,1.14,0.6,15.2,7.95,0
2026-04-24T08:00,1.12,0.6,15.2,8.05,0
2026-04-24T09:00,1.1,0.9,15.1,8.1,0
2026-04-24T10:00,1.08,0.9,15.1,8.2,0
2026-04-24T11:00,1.04,0.9,15.1,8.25,0
2026-04-24T12:00,1.02,0.4,15.1,8.35,0
2026-04-24T13:00,1.0,0.6,15.1,8.45,0
2026-04-24T14:00,0.98,1.5,15.1,8.5,0
2026-04-24T15:00,0.96,1.8,15.1,8.6,0
2026-04-24T16:00,0.94,1.8,15.1,8.65,0
2026-04-24T17:00,0.94,1.7,15.1,8.7,0
2026-04-24T18:00,0.92,1.4,15.1,8.75,0
2026-04-24T19:00,0.92,0.8,15.1,8.75,0
2026-04-24T20:00,0.9,0.6,15.2,8.8,0
2026-04-24T21:00,0.9,1.3,15.2,8.8,0
2026-04-24T22:00,0.88,1.7,15.3,8.8,0
2026-04-24T23:00,0.88,1.9,15.4,8.8,0
2026-04-25T00:00,0.86,1.6,15.4,8.85,0
2026-04-25T01:00,0.86,1.0,15.4,8.95,0
2026-04-25T02:00,0.86,0.2,15.3,9.05,0
2026-04-25T03:00,0.86,0.7,15.2,9.15,0
2026-04-25T04:00,0.86,1.1,15.2,9.25,0
2026-04-25T05:00,0.84,1.2,15.2,9.35,0
2026-04-25T06:00,0.84,1.5,15.1,9.4,0
2026-04-25T07:00,0.82,1.2,15.1,9.45,0
2026-04-25T08:00,0.82,0.8,15.1,9.5,0
2026-04-25T09:00,0.8,0.5,15.1,9.5,0
2026-04-25T10:00,0.8,0.9,15.1,9.5,0
2026-04-25T11:00,0.78,1.1,15.1,9.55,0
2026-04-25T12:00,0.78,0.9,15.1,9.55,0
2026-04-25T13:00,0.76,0.5,15.1,9.6,0
2026-04-25T14:00,0.76,0.5,15.1,9.6,0
2026-04-25T15:00,0.74,1.3,15.1,9.65,0
2026-04-25T16:00,0.74,1.7,15.1,9.7,0
2026-04-25T17:00,0.72,1.8,15.1,9.75,0
2026-04-25T18:00,0.72,1.8,15.1,9.75,0
2026-04-25T19:00,0.72,1.4,15.1,9.75,0
2026-04-25T20:00,0.7,0.8,15.1,9.7,0
2026-04-25T21:00,0.7,0.6,15.2,9.6,0
2026-04-25T22:00,0.7,1.3,15.2,9.3,1
2026-04-25T23:00,0.72,1.7,15.3,8.95,0
2026-04-26T00:00,0.72,1.9,15.3,8.65,0
2026-04-26T01:00,0.72,1.6,15.3,8.55,0
2026-04-26T02:00,0.72,0.9,15.2,8.5,0
2026-04-26T03:00,0.72,0.3,15.2,8.55,0
2026-04-26T04:00,0.72,0.9,15.1,8.65,0
2026-04-26T05:00,0.7,1.4,15.1,8.8,0
2026-04-26T06:00,0.7,1.6,15.1,8.95,0
2026-04-26T07:00,0.68,1.7,15.1,9.15,0
2026-04-26T08:00,0.68,1.4,15.1,9.3,0
2026-04-26T09:00,0.66,0.8,15.1,9.5,0
2026-04-26T10:00,0.66,0.6,15.0,9.65,0
2026-04-26T11:00,0.66,1.1,15.0,9.8,0
2026-04-26T12:00,0.66,1.3,15.0,9.95,0
2026-04-26T13:00,0.66,1.3,15.0,10.05,0
2026-04-26T14:00,0.66,0.7,15.0,10.15,0
2026-04-26T15:00,0.66,0.4,15.0,10.2,0
2026-04-26T16:00,0.66,1.0,15.0,10.2,0
2026-04-26T17:00,0.68,1.5,15.0,10.15,0
2026-04-26T18:00,0.68,1.5,15.0,10.15,0
2026-04-26T19:00,0.68,1.7,15.1,10.15,0
2026-04-26T20:00,0.7,1.3,15.1,10.15,0
2026-04-26T21:00,0.7,0.7,15.1,10.15,0
2026-04-26T22:00,0.7,0.8,15.2,10.2,0
2026-04-26T23:00,0.7,1.5,15.2,10.3,0
2026-04-27T00:00,0.7,1.9,15.2,10.4,0
2026-04-27T01:00,0.7,1.9,15.2,10.5,0
2026-04-27T02:00,0.72,1.5,15.2,10.55,0
2026-04-27T03:00,0.72,0.6,15.2,10.6,0
2026-04-27T04:00,0.74,0.4,15.1,10.65,0
2026-04-27T05:00,0.74,1.2,15.1,10.65,0
2026-04-27T06:00,0.76,1.5,15.1,10.65,0
2026-04-27T07:00,0.78,1.7,15.1,10.65,0
2026-04-27T08:00,0.78,1.8,15.0,10.6,0
2026-04-27T09:00,0.8,1.4,14.9,10.55,0
2026-04-27T10:00,0.8,0.7,14.9,10.5,0
2026-04-27T11:00,0.82,1.0,14.9,10.45,0
2026-04-27T12:00,0.82,1.4,14.9,10.4,0
2026-04-27T13:00,0.82,1.8,14.9,10.35,0
2026-04-27T14:00,0.84,1.6,14.8,10.35,0
2026-04-27T15:00,0.84,1.1,14.8,10.3,0
2026-04-27T16:00,0.84,0.2,14.8,10.25,0



