time,wave_height (m),ocean_current_velocity (km/h),sea_surface_temperature (°C),wave_period (s)
2026-11-15T00:00,0.90,1.40,17.5,10.20
2026-11-15T01:00,1.20,1.70,17.4,9.40
2026-11-15T02:00,1.80,2.30,17.3,7.50
2026-11-15T03:00,2.40,2.90,17.2,6.50
2026-11-15T04:00,3.00,3.50,17.1,5.40
2026-11-15T05:00,3.50,4.00,17.0,4.80
2026-11-15T06:00,3.80,4.20,16.9,4.60
2026-11-15T07:00,3.20,3.70,17.0,5.10
2026-11-15T08:00,2.50,3.00,17.1,6.00
2026-11-15T09:00,1.90,2.40,17.2,7.20
2026-11-15T10:00,1.50,2.00,17.3,8.20
2026-11-15T11:00,1.20,1.70,17.4,8.80
2026-11-15T12:00,1.00,1.50,17.5,9.40
2026-11-15T13:00,1.40,1.90,17.4,8.40
2026-11-15T14:00,2.20,2.70,17.2,6.80
2026-11-15T15:00,3.00,3.50,17.0,5.60
2026-11-15T16:00,3.60,4.00,16.9,4.90
2026-11-15T17:00,3.90,4.30,16.8,4.60
2026-11-15T18:00,4.10,4.50,16.7,4.40
2026-11-15T19:00,3.40,3.80,16.8,5.00
2026-11-15T20:00,2.60,3.10,16.9,6.20
2026-11-15T21:00,1.90,2.40,17.0,7.40
2026-11-15T22:00,1.50,2.00,17.1,8.40
2026-11-15T23:00,1.20,1.70,17.2,9.20
2026-11-16T00:00,1.00,1.50,17.3,9.80
2026-11-16T01:00,1.10,1.60,17.3,9.40
2026-11-16T02:00,1.60,2.10,17.2,7.80
2026-11-16T03:00,2.40,2.80,17.0,6.40
2026-11-16T04:00,3.10,3.50,16.8,5.40
2026-11-16T05:00,2.80,3.30,16.9,5.80
